id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
660737,API,Chat,No,No,0,0.0,0,0.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
660728,API,Organic Search,No,No,0,5.0,674,2.5,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
660719,Landing Page Submission,Direct Traffic,No,No,0,1.0,305,1.0,Unreachable,Media and Advertising,Unemployed,No,No,No,No,No,No,13.0,17.0,No
660681,Landing Page Submission,Google,No,No,1,2.0,1428,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,15.0,18.0,No
660680,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
660673,Landing Page Submission,Google,No,No,1,2.0,1640,2.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
660664,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
660624,Landing Page Submission,Direct Traffic,No,No,0,2.0,71,2.0,Email Opened,IT Projects Management,,No,No,No,No,No,No,14.0,14.0,Yes
660616,API,Google,No,No,0,4.0,58,4.0,Email Opened,Finance Management,,No,No,No,No,No,No,13.0,16.0,No
660562,API,Organic Search,No,No,1,11.0,1538,11.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,16.0,16.0,No
660553,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,481,1.0,Email Bounced,Business Administration,Unemployed,No,No,No,No,No,No,16.0,17.0,No
660522,Landing Page Submission,Google,No,No,1,6.0,1688,3.0,Page Visited on Website,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No
660509,API,Organic Search,No,No,0,3.0,98,3.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
