id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
602658,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,212,1.0,Email Bounced,IT Projects Management,,No,No,No,No,No,No,,,No
658220,API,Organic Search,No,No,0,4.0,331,4.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
648293,Landing Page Submission,Google,No,No,0,4.0,75,4.0,Email Link Clicked,Operations Management,Unemployed,No,No,No,No,No,No,13.0,17.0,No
589048,Landing Page Submission,Organic Search,No,No,1,5.0,740,5.0,SMS Sent,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,15.0,14.0,No
615534,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Human Resource Management,Working Professional,No,No,No,No,No,No,,,No
654886,API,Google,No,No,0,8.0,717,2.67,Email Opened,Select,Unemployed,No,No,No,No,No,No,10.0,15.0,No
638046,Landing Page Submission,Direct Traffic,No,No,1,11.0,1027,5.5,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,17.0,No
579564,Landing Page Submission,Direct Traffic,Yes,No,1,8.0,1845,2.67,Email Marked Spam,IT Projects Management,Unemployed,No,No,No,No,No,No,15.0,17.0,No
595834,API,Chat,No,No,0,4.0,416,2.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
609902,API,Chat,No,No,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,No
589781,Landing Page Submission,Direct Traffic,No,No,0,1.0,186,1.0,Converted to Lead,Operations Management,Unemployed,No,No,No,No,No,No,16.0,18.0,No
615500,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Student,No,No,No,No,No,No,,,No
632196,API,Google,No,No,1,2.0,803,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
581214,Landing Page Submission,Direct Traffic,No,No,1,3.0,382,3.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes
601921,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
